"unitid","revenue","expenditure","enrollment","partic","women"
130253,29369.556,29369.556,1800.6,1306,0
130314,1287.735,1287.735,138.125,134,0
130396,223.061,223.061,1041.4,75,0
130493,7747.756,7747.756,2623.8,1103,0
130590,11501.969,9000.151,1073.17021276596,1482,0
130697,10969.503,9785.832,1320.0652173913,1393,0
130776,3285.024,3285.024,2007.04347826087,460,0
130794,42917.614,40489.309,2887.6,1868,0
130907,357.929,357.929,2070.625,95,0
130934,6933.034,6933.034,1235.6,432,0
130943,28301.04,28301.04,7633.4,691,0
130989,2429.773,2266.82,281.235294117647,297,0
131098,1454.027,1456.467,541.571428571429,638,0
131113,4222.497,4005.826,1356.77777777778,458,0
131159,17266.234,17266.234,2649.6,572,0
131283,5535.107,5354.458,1464.35294117647,1146,0
131399,6140.957,6112.833,886.8,216,0
131450,2032.152,1962.667,480.6,481,0
131469,37886.751,37886.751,4268.33333333333,1061,0
131496,96272.906,96272.906,3060.4,1560,0
131520,15414.204,14192.195,1854.06451612903,769,0
132471,9370.628,9370.628,1098.8,355,0
132602,11418.645,11470.199,1326.85185185185,511,0
132657,10637.638,10637.639,1011.78260869565,454,0
132693,3603.283,3415.51,2225.88888888889,262,0
132709,1889.241,1889.241,5022.6,183,0
132851,1130.125,1130.125,1135.8,73,0
132879,183.235,193.495,96.25,71,0
132903,22081.365,32787.934,18139,317,0
133021,2086.351,2086.351,340.2,62,0
133386,3546.082,3542.44,2029.81818181818,195,0
133492,7296.161,7296.161,657.4,301,0
133508,1704.187,1618.993,1958.75,55,0
133526,1561.084,1561.084,465.75,229,0
133553,17765.606,17632.722,4254.58064516129,1142,0
133650,6452.697,6452.697,2360.8,367,0
133669,16976.379,17489.221,7007.6,466,0
133702,1111.714,1111.714,2824.14285714286,83,0
133711,7097.656,6837.157,919.8,408,0
133809,2142.575,2142.575,244.470588235294,268,0
133881,17888.862,17518.213,2295.9512195122,1013,0
133951,13972.698,14400.602,11492.4,479,0
133979,2192.637,2165.445,439.25,236,0
134079,15860.222,15892.981,875,870,0
134097,104110.722,92185.436,12574.2,917,0
134130,63466.166,71615.801,13422.8,1001,0
134343,2130.124,2130.124,699.6,59,0
134495,597.108,584.37,5116,69,0
134608,2257.302,2081.748,2275.6,175,0
134945,21195.74,21195.74,988.2,671,0
135081,14452.818,14342.546,3461.85294117647,1152,0
135188,19.932,19.932,523,22,0
135717,2318.909,2007.432,9614.6,71,0
135726,56182.255,54824.286,4927.2,375,0
136172,16117.865,16117.865,4402.2,577,0
136215,12999.549,12999.549,1144.6,590,0
136233,1900.09,1847.073,843.4,62,0
136330,7333.965,6873.103,802.758620689655,571,0
136358,1395.493,1424.71,3753.8,63,0
136473,1412.335,1412.335,1412.2,57,0
136950,15407.324,15407.324,987.4,946,0
137032,13131.287,12619.264,2752.4,795,0
137078,1174.794,1174.794,3407.8,68,0
